              Lexeme	               LineNo	            TokenName	        ValuelfNumber	          parentNodeSymbol	           IsLeafNode	                NodeSymbol
                  :=	                   24	             ASSIGNOP	                -----	              lvalueIDStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	              lvalueIDStmt	             Not Leaf	                expression
                   ;	                   24	              SEMICOL	                -----	              lvalueIDStmt	              Is Leaf	                     -----
               res_1	                   26	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                ----	                -----	                -----	                -----	                expression	             Not Leaf	   arithmeticOrBooleanExpr
                  :=	                   12	             ASSIGNOP	                -----	              lvalueIDStmt	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	              lvalueIDStmt	             Not Leaf	                expression
                   ;	                   12	              SEMICOL	                -----	              lvalueIDStmt	              Is Leaf	                     -----
                   [	                   13	                 SQBO	                -----	                  optional	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                  optional	             Not Leaf	                    idList
                   ]	                   13	                 SQBC	                -----	                  optional	              Is Leaf	                     -----
                  :=	                   13	             ASSIGNOP	                -----	                  optional	              Is Leaf	                     -----
              var_1_	                   13	                   ID	                -----	                    idList	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    idList	             Not Leaf	               idList_dash
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                ----	                -----	                -----	                -----	      arithmeticExpr_recur	             Not Leaf	             op_plus_minus
                ----	                -----	                -----	                -----	      arithmeticExpr_recur	             Not Leaf	                      term
                ----	                -----	                -----	                -----	      arithmeticExpr_recur	             Not Leaf	      arithmeticExpr_recur
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	            arithmeticExpr
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	       arithmeticExpr_dash
                    	                    0	                    e	                -----	                      bool	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                   anyTerm
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                      bool
                ----	                -----	                -----	                -----	                expression	             Not Leaf	   arithmeticOrBooleanExpr
                    	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                   anyTerm
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                      bool
                ----	                -----	                -----	                -----	                expression	             Not Leaf	             op_plus_minus
                ----	                -----	                -----	                -----	                expression	             Not Leaf	               unaryOrExpr
              R1_abc	                   13	                   ID	                -----	                    idList	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    idList	             Not Leaf	               idList_dash
                   ,	                   13	                COMMA	                -----	               idList_dash	              Is Leaf	                     -----
              var_2_	                   13	                   ID	                -----	               idList_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               idList_dash	             Not Leaf	               idList_dash
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                op_mul_div
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                 term_dash
                   -	                   21	                MINUS	                -----	             op_plus_minus	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                    	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
                    	                    0	                    e	                -----	       arithmeticExpr_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	            arithmeticExpr
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	       arithmeticExpr_dash
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                 logicalOp
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                   anyTerm
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                      bool
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                   anyTerm
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                      bool
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	            arithmeticExpr
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	       arithmeticExpr_dash
                    	                    0	                    e	                -----	                      bool	              Is Leaf	                     -----
                   -	                   12	                MINUS	                -----	             op_plus_minus	              Is Leaf	                     -----
                   (	                   12	                   BO	                -----	               unaryOrExpr	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               unaryOrExpr	             Not Leaf	            arithmeticExpr
                   )	                   12	                   BC	                -----	               unaryOrExpr	              Is Leaf	                     -----
                   ,	                   13	                COMMA	                -----	               idList_dash	              Is Leaf	                     -----
              r2_ABC	                   13	                   ID	                -----	               idList_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               idList_dash	             Not Leaf	               idList_dash
                   ,	                   13	                COMMA	                -----	               idList_dash	              Is Leaf	                     -----
              var_34	                   13	                   ID	                -----	               idList_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               idList_dash	             Not Leaf	               idList_dash
                   a	                   21	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                   *	                   21	                  MUL	                -----	                op_mul_div	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                    	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                op_mul_div
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                 term_dash
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                    	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
                ----	                -----	                -----	                -----	       arithmeticExpr_dash	             Not Leaf	              relationalOp
                ----	                -----	                -----	                -----	       arithmeticExpr_dash	             Not Leaf	            arithmeticExpr
                 AND	                   23	                  AND	                -----	                 logicalOp	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	            arithmeticExpr
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	       arithmeticExpr_dash
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                 logicalOp
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                   anyTerm
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                      bool
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	            arithmeticExpr
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	       arithmeticExpr_dash
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                 logicalOp
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                   anyTerm
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                      bool
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
                    	                    0	                    e	                -----	       arithmeticExpr_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
                   ,	                   13	                COMMA	                -----	               idList_dash	              Is Leaf	                     -----
              R3_abc	                   13	                   ID	                -----	               idList_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	               idList_dash	             Not Leaf	               idList_dash
                    	                    0	                    e	                -----	               idList_dash	              Is Leaf	                     -----
                    	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
                   b	                   21	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                   c	                   21	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                   /	                   21	                  DIV	                -----	                op_mul_div	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                    	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                   (	                   22	                   BO	                -----	                    factor	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	   arithmeticOrBooleanExpr
                   )	                   22	                   BC	                -----	                    factor	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                op_mul_div
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                 term_dash
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                    	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                  <=	                   23	                   LE	                -----	              relationalOp	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
                ----	                -----	                -----	                -----	       arithmeticExpr_dash	             Not Leaf	              relationalOp
                ----	                -----	                -----	                -----	       arithmeticExpr_dash	             Not Leaf	            arithmeticExpr
                  OR	                   23	                   OR	                -----	                 logicalOp	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	            arithmeticExpr
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	       arithmeticExpr_dash
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                 logicalOp
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                   anyTerm
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                      bool
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
                    	                    0	                    e	                -----	       arithmeticExpr_dash	              Is Leaf	                     -----
                  OR	                   24	                   OR	                -----	                 logicalOp	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	            arithmeticExpr
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	       arithmeticExpr_dash
                    	                    0	                    e	                -----	                      bool	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                    	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                    	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                    	                    0	                    e	                -----	               idList_dash	              Is Leaf	                     -----
                    	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
                    	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
                   5	                   21	                  NUM	                    5	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                   anyTerm
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                      bool
                   /	                   22	                  DIV	                -----	                op_mul_div	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                    	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                    	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                    	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                    	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                  >=	                   23	                   GE	                -----	              relationalOp	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
                ----	                -----	                -----	                -----	       arithmeticExpr_dash	             Not Leaf	              relationalOp
                ----	                -----	                -----	                -----	       arithmeticExpr_dash	             Not Leaf	            arithmeticExpr
                 AND	                   23	                  AND	                -----	                 logicalOp	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	                boolConstt
                    	                    0	                    e	                -----	                      bool	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                    	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
                    	                    0	                    e	                -----	       arithmeticExpr_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                    	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                    	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	            arithmeticExpr
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	       arithmeticExpr_dash
                    	                    0	                    e	                -----	                      bool	              Is Leaf	                     -----
                  13	                   22	                  NUM	                   13	                var_id_num	              Is Leaf	                     -----
                   a	                   23	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                    	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                    	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                    	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                    	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                   <	                   23	                   LT	                -----	              relationalOp	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
               false	                   23	                FALSE	                -----	                boolConstt	              Is Leaf	                     -----
                   (	                   24	                   BO	                -----	                    factor	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	   arithmeticOrBooleanExpr
                   )	                   24	                   BC	                -----	                    factor	              Is Leaf	                     -----
                    	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                    	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                  10	                   11	                  NUM	                   10	                var_id_num	              Is Leaf	                     -----
                   6	                   12	                  NUM	                    6	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	                      term
                ----	                -----	                -----	                -----	            arithmeticExpr	             Not Leaf	      arithmeticExpr_recur
                    	                    0	                    e	                -----	       arithmeticExpr_dash	              Is Leaf	                     -----
                    	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
                   b	                   23	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                   c	                   23	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                    	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                    	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                    	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                   anyTerm
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                      bool
                   (	                   24	                   BO	                -----	                    factor	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	   arithmeticOrBooleanExpr
                   )	                   24	                   BC	                -----	                    factor	              Is Leaf	                     -----
                    	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                ----	                -----	                -----	                -----	      arithmeticExpr_recur	             Not Leaf	             op_plus_minus
                ----	                -----	                -----	                -----	      arithmeticExpr_recur	             Not Leaf	                      term
                ----	                -----	                -----	                -----	      arithmeticExpr_recur	             Not Leaf	      arithmeticExpr_recur
                    	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
                    	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
                   a	                   23	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                   a	                   23	                   ID	                -----	                var_id_num	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                var_id_num	             Not Leaf	                   whichId
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	                var_id_num
                    	                    0	                    e	                -----	                 term_dash	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	                boolConstt
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                 logicalOp
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                   anyTerm
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                      bool
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                   anyTerm
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                      bool
                   (	                   22	                   BO	                -----	                    factor	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                    factor	             Not Leaf	   arithmeticOrBooleanExpr
                   )	                   22	                   BC	                -----	                    factor	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                op_mul_div
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                 term_dash	             Not Leaf	                 term_dash
                   +	                   22	                 PLUS	                -----	             op_plus_minus	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                    factor
                ----	                -----	                -----	                -----	                      term	             Not Leaf	                 term_dash
                    	                    0	                    e	                -----	      arithmeticExpr_recur	              Is Leaf	                     -----
                    	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
                    	                    0	                    e	                -----	                   whichId	              Is Leaf	                     -----
                   0	                   23	                  NUM	                    0	                var_id_num	              Is Leaf	                     -----
                true	                   24	                 TRUE	                -----	                boolConstt	              Is Leaf	                     -----
                 AND	                   24	                  AND	                -----	                 logicalOp	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	            arithmeticExpr
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	       arithmeticExpr_dash
                    	                    0	                    e	                -----	                      bool	              Is Leaf	                     -----
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	            arithmeticExpr
                ----	                -----	                -----	                -----	                   anyTerm	             Not Leaf	       arithmeticExpr_dash
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                 logicalOp
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                   anyTerm
                ----	                -----	                -----	                -----	                      bool	             Not Leaf	                      bool
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                   anyTerm
                ----	                -----	                -----	                -----	   arithmeticOrBooleanExpr	             Not Leaf	                      bool
